"","sp.t","GrossReturn","PriceReturn","inf.crsp.t","inf.crsp","crsp.adj.GR","crsp.adj.PR"
"249",19461130,0.996199,0.988259,19461130,1.024038,-0.0271855146000441,-0.0349391331181069
"250",19461231,1.046818,1.041973,19461231,1.00939,0.03707982048564,0.0322798918158491
"251",19470131,1.022013,1.020953,19470131,1,0.0220130000000001,0.020953
"252",19470228,0.991693,0.984834,19470228,1,-0.00830699999999995,-0.015166
"253",19470331,0.984992,0.982269,19470331,1.018605,-0.0329990526258952,-0.0356723165505766
"254",19470430,0.96044,0.959228,19470430,1,-0.03956,-0.040772
"255",19470529,0.99901,0.98953,19470529,1,-0.000990000000000046,-0.01047
"256",19470630,1.053991,1.050908,19470630,1.004566,0.049200351196437,0.0461313641911032
"257",19470731,1.039572,1.038369,19470731,1.009091,0.0302063936750996,0.0290142316203397
"258",19470829,0.976924,0.970852,19470829,1.013514,-0.0361021160043177,-0.0420931531286198
"259",19470930,0.990072,0.98631,19470930,1.022222,-0.031451093793716,-0.0351313119850678
"260",19471031,1.020578,1.019353,19471031,1,0.020578,0.019353
"261",19471129,0.982367,0.970445,19471128,1.004348,-0.0218858403660883,-0.0337562279209995
"262",19471231,1.030784,1.025273,19471231,1.012987,0.0175688335585746,0.0121284873349807
"263",19480131,0.962257,0.961095,19480130,1.012821,-0.0499239253530485,-0.0510712159404277
"264",19480228,0.959768,0.952218,19480227,0.991561,-0.0320635845903581,-0.039677841302754
"265",19480331,1.08144,1.077022,19480331,0.995745,0.086061190365003,0.0816243114451993
"266",19480430,1.030821,1.028537,19480430,1.017094,0.0134962943444756,0.0112506808613562
"267",19480528,1.084014,1.077523,19480528,1.004202,0.0794780333040563,0.0730141943553189
"268",19480630,1.007665,1.003687,19480630,1.008368,-0.000697166113958314,-0.00464215445154936
"269",19480730,0.947704,0.946856,19480730,1.012448,-0.0639479755997345,-0.0647855494800721
"270",19480831,1.015539,1.008123,19480831,1.004098,0.0113943061334651,0.00400857286838563
"271",19480930,0.972984,0.968841,19480930,1,-0.027016,-0.031159
"272",19481030,1.070041,1.067023,19481029,0.995918,0.0744268102393972,0.0713964402691789
"273",19481130,0.901668,0.890061,19481130,0.991803,-0.0908799428918847,-0.102582871800146
"274",19481231,1.035952,1.029719,19481231,0.995868,0.0402503142986821,0.033991452682484
"275",19490131,1.002676,1.001377,19490131,0.995851,0.00685343490140577,0.00554902289599535
"276",19490228,0.968361,0.958528,19490228,0.991667,-0.0235018408397173,-0.0334174677588343
"277",19490331,1.033981,1.029349,19490331,1,0.033981,0.0293490000000001
"278",19490430,0.981309,0.978283,19490429,1.004202,-0.0227972061398006,-0.0258105440937182
"279",19490531,0.970577,0.962208,19490531,0.995816,-0.0253450436626846,-0.0337492066807523
"280",19490630,1.001744,0.996731,19490630,1.004202,-0.00244771470281879,-0.00743973821999955
"281",19490729,1.062732,1.061657,19490729,0.991632,0.0716999854784841,0.0706159139680851
"282",19490831,1.0218,1.011738,19490831,1.004219,0.0175071373873628,0.007487410614617
"283",19490930,1.027415,1.024293,19490930,1.004202,0.0231158671263352,0.020006930876457
"284",19491031,1.02978,1.028437,19491031,0.991632,0.0384699162592574,0.0371155832002195
"285",19491130,1.020738,1.000482,19491130,1.004219,0.0164495991412232,-0.00372129983599179
"286",19491231,1.050984,1.046034,19491230,0.991597,0.059890257836601,0.054898310503158
"287",19500131,1.019703,1.018245,19500131,0.995763,0.0240418653836305,0.0225776615519959
"288",19500228,1.019603,1.009975,19500228,1,0.019603,0.00997500000000007
"289",19500331,1.008185,1.003542,19500331,1.004255,0.00391334870127635,-0.000709979039188235
"290",19500429,1.045887,1.044493,19500428,1,0.045887,0.0444929999999999
"291",19500531,1.046902,1.03759,19500531,1.004237,0.0424849910927401,0.0332122795714558
"292",19500630,0.945776,0.942151,19500630,1.004219,-0.0581974648956055,-0.0618072352743774
"293",19500731,1.016981,1.015875,19500731,1.012605,0.00432152715027079,0.00322929473980493
"294",19500831,1.048063,1.031526,19500831,1.008299,0.0394367147046659,0.0230358256826595
"295",19500929,1.059466,1.05651,19500929,1.004115,0.055124164064873,0.0521802781553906
"296",19501031,1.005084,1.003425,19501031,1.008197,-0.0030876902034026,-0.00473320194366778
"297",19501130,1.02243,0.999927,19501130,1.004065,0.0182906485137915,-0.00412124713041484
"298",19501230,1.055425,1.051025,19501229,1.012146,0.0427596413956091,0.0384124424737144
"299",19510131,1.065105,1.063309,19510131,1.016,0.0483316929133857,0.0465639763779528
"300",19510228,1.014546,1.004185,19510228,1.011811,0.00270307399306779,-0.00753698072070763
"301",19510331,0.982516,0.980294,19510330,1.003891,-0.0212921522356512,-0.0235055399440777
"302",19510430,1.049108,1.047903,19510430,1,0.0491079999999999,0.047903
"303",19510531,0.970021,0.959083,19510531,1.003876,-0.0337242846726089,-0.0446200526758285
"304",19510629,0.974152,0.971814,19510629,1,-0.025848,-0.028186
"305",19510731,1.070935,1.070014,19510731,1,0.070935,0.070014
"306",19510831,1.05022,1.038396,19510831,1,0.0502199999999999,0.0383960000000001
"307",19510928,1.002868,1.001195,19510928,1.007722,-0.00481680463461143,-0.00647698472396152
"308",19511031,0.986679,0.984912,19511031,1.003831,-0.0170865414596679,-0.0188467979171792
"309",19511130,1.011388,0.997426,19511130,1.007634,0.00372555908196825,-0.0101306625223047
"310",19511231,1.041815,1.038467,19511231,1.003788,0.0378834973121815,0.0345481316772069
"311",19520131,1.017768,1.016303,19520131,1,0.017768,0.016303
"312",19520229,0.974759,0.964257,19520229,0.992453,-0.0178285520825672,-0.0284104133898532
"313",19520331,1.052805,1.050655,19520331,1,0.052805,0.0506549999999999
"314",19520430,0.958577,0.956732,19520430,1.003802,-0.0450537058105085,-0.0468917176893452
"315",19520529,1.033698,1.023274,19520529,1,0.033698,0.023274
"316",19520630,1.047832,1.045795,19520630,1.003788,0.0438777909279651,0.0418484779654669
"317",19520731,1.019129,1.017659,19520731,1.007547,0.0114952453830939,0.010036256373152
"318",19520829,0.994326,0.984993,19520829,1,-0.00567399999999996,-0.015007
"319",19520930,0.981915,0.979902,19520930,1,-0.018085,-0.0200979999999999
"320",19521031,1.00032,0.998756,19521031,1,0.000320000000000098,-0.00124400000000002
"321",19521128,1.061382,1.048273,19521128,1,0.061382,0.048273
"322",19521231,1.038215,1.035725,19521231,1,0.0382150000000001,0.035725
"323",19530130,0.993793,0.993205,19530130,0.996255,-0.00247125484941102,-0.0030614651871258
"324",19530227,0.99246,0.982196,19530227,0.996241,-0.0037952664064218,-0.0140979943608024
"325",19530331,0.977712,0.975632,19530331,1.003774,-0.0259640118193936,-0.0280361914136049
"326",19530430,0.974692,0.973168,19530430,1,-0.025308,-0.026832
"327",19530529,1.007401,0.99727,19530529,1.003759,0.00362836099103458,-0.00646469919572334
"328",19530630,0.985734,0.983817,19530630,1.003745,-0.0179438004672503,-0.0198536480879108
"329",19530731,1.026314,1.024844,19530731,1,0.0263139999999999,0.0248440000000001
"330",19530831,0.949899,0.939903,19530831,1.003731,-0.0536318993834004,-0.0635907429380979
"331",19530930,1.002187,1.000072,19530930,1,0.00218699999999994,7.2000000000072e-05
