"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1961,2,0.032838,0.028612,0,0.0328379999999999,0.0286120000000001,0,0.0328379999999999,0.0286120000000001,0,0.0328379999999999,0.0286120000000001,0.0045153521974714,0.0281953359304763,0.0239883320347618
1961,3,0.029345,0.027051,0,0.029345,0.0270509999999999,0,0.029345,0.0270509999999999,0,0.029345,0.0270509999999999,0.0119868145040456,0.0171525806929227,0.0148857527391175
1961,4,0.004537,0.003843,0,0.00453700000000001,0.00384300000000004,0.00324675324675318,0.00128607119741098,0.000594317152103674,-0.00628930817610061,0.0108948291139241,0.0101964367088607,-0.000296120817293355,0.00483455242890996,0.00414034686018949
1961,5,0.023553,0.018924,0,0.0235529999999999,0.0189239999999999,0,0.0235529999999999,0.0189239999999999,-0.00316455696202536,0.0268023746031745,0.0221586793650794,0.00681279620853067,0.0166269279199764,0.0120292509561637
1961,6,-0.026673,-0.028725,0,-0.0266729999999999,-0.028725,0,-0.0266729999999999,-0.028725,-0.00634920634920633,-0.0204536581469649,-0.0225187699680511,0.00294204177699323,-0.0295281686711645,-0.0315741493106483
1961,7,0.033795,0.033119,0.00671140939597313,0.0269030333333335,0.0262315399999999,0.0032362459546926,0.0304601774193547,0.0297863580645159,0.00638977635782745,0.0272312222222222,0.026559514285714,-0.000880023467292328,0.0347055651790955,0.0340289697592482
1961,8,0.02473,0.019511,-0.00333333333333338,0.0281571906354514,0.0229207357859533,0,0.0247299999999999,0.0195110000000001,0,0.0247299999999999,0.0195110000000001,0.00440399295361127,0.0202368839520608,0.0150407676118094
1961,9,-0.018674,-0.019877,0.00334448160535122,-0.0219450866666666,-0.0231440766666667,0.00322580645161295,-0.0218293890675241,-0.0230285209003215,0,-0.018674,-0.019877,0.00672318035662074,-0.0252275708478512,-0.0264225368757258
1961,10,0.028175,0.026791,0,0.0281750000000001,0.026791,0.00321543408360122,0.0248795673076925,0.0235000032051282,0,0.0281750000000001,0.026791,0.00609756097560982,0.0219436363636365,0.0205680242424242
1961,11,0.045226,0.039324,0,0.045226,0.0393239999999999,0,0.045226,0.0393239999999999,0,0.045226,0.0393239999999999,0.00981240981240975,0.0350694741354673,0.0292248242354958
1961,12,0.004696,0.003465,0,0.00469600000000003,0.00346500000000005,0,0.00469600000000003,0.00346500000000005,0.00317460317460322,0.00151658227848106,0.000289477848101294,0.0071448985424407,-0.00243152553916004,-0.00365379256526666
1962,1,-0.037356,-0.038692,0,-0.0373559999999999,-0.0386919999999999,0,-0.0373559999999999,-0.0386919999999999,0.00316455696202525,-0.0403927318611987,-0.0417245173501577,0.00227014755959141,-0.0395363941109853,-0.0408693680634201
1962,2,0.020592,0.016147,0.00333333333333338,0.0172013289036543,0.0127710963455148,0,0.0205919999999999,0.0161469999999999,0,0.0205919999999999,0.0161469999999999,0.00226500566251419,0.0182855774011299,0.0138506225988699
1962,3,-0.003842,-0.005137,0,-0.00384200000000001,-0.00513699999999995,0.00320512820512825,-0.00702461341853033,-0.0083154760383386,0,-0.00384200000000001,-0.00513699999999995,0.00960451977401124,-0.0133186010072748,-0.0146012814773363
1962,4,-0.061743,-0.062443,0.00332225913621255,-0.064849811258278,-0.0655474933774833,0,-0.061743,-0.062443,-0.00315457413249205,-0.058773832278481,-0.0594760474683544,0.00447677672076112,-0.0659246467966575,-0.0666215270194987
1962,5,-0.079847,-0.085499,0,-0.079847,-0.085499,0.00319488817891367,-0.0827774235668789,-0.0884114235668789,-0.00316455696202536,-0.0769258793650793,-0.0825958222222222,0.00835654596100279,-0.0874725773480663,-0.0930777375690609
1962,6,-0.080669,-0.082222,0,-0.080669,-0.082222,0,-0.080669,-0.082222,0,-0.080669,-0.082222,-0.00441988950276249,-0.0765876193118756,-0.0781475138734739
