Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,1980,M12,1980 Dec,84.9
CUUR0000SA0L1E,1981,M01,1981 Jan,85.3
CUUR0000SA0L1E,1981,M02,1981 Feb,85.7
CUUR0000SA0L1E,1981,M03,1981 Mar,86.1
CUUR0000SA0L1E,1981,M04,1981 Apr,86.8
CUUR0000SA0L1E,1981,M05,1981 May,87.8
CUUR0000SA0L1E,1981,M06,1981 Jun,88.7
CUUR0000SA0L1E,1981,M07,1981 Jul,89.9
CUUR0000SA0L1E,1981,M08,1981 Aug,90.7
CUUR0000SA0L1E,1981,M09,1981 Sep,91.9
CUUR0000SA0L1E,1981,M10,1981 Oct,92.3
CUUR0000SA0L1E,1981,M11,1981 Nov,92.7
CUUR0000SA0L1E,1981,M12,1981 Dec,93.0
CUUR0000SA0L1E,1982,M01,1982 Jan,93.2
CUUR0000SA0L1E,1982,M02,1982 Feb,93.5
CUUR0000SA0L1E,1982,M03,1982 Mar,93.7
CUUR0000SA0L1E,1982,M04,1982 Apr,94.5
CUUR0000SA0L1E,1982,M05,1982 May,95.4
CUUR0000SA0L1E,1982,M06,1982 Jun,96.3
CUUR0000SA0L1E,1982,M07,1982 Jul,96.7
CUUR0000SA0L1E,1982,M08,1982 Aug,97.1
CUUR0000SA0L1E,1982,M09,1982 Sep,97.3
CUUR0000SA0L1E,1982,M10,1982 Oct,97.7
CUUR0000SA0L1E,1982,M11,1982 Nov,97.6
CUUR0000SA0L1E,1982,M12,1982 Dec,97.2
CUUR0000SA0L1E,1983,M01,1983 Jan,97.6
CUUR0000SA0L1E,1983,M02,1983 Feb,97.9
CUUR0000SA0L1E,1983,M03,1983 Mar,98.1
CUUR0000SA0L1E,1983,M04,1983 Apr,98.6
CUUR0000SA0L1E,1983,M05,1983 May,98.8
CUUR0000SA0L1E,1983,M06,1983 Jun,99.1
CUUR0000SA0L1E,1983,M07,1983 Jul,99.6
CUUR0000SA0L1E,1983,M08,1983 Aug,100.0
CUUR0000SA0L1E,1983,M09,1983 Sep,100.7
CUUR0000SA0L1E,1983,M10,1983 Oct,101.3
CUUR0000SA0L1E,1983,M11,1983 Nov,101.8
CUUR0000SA0L1E,1983,M12,1983 Dec,101.9
CUUR0000SA0L1E,1984,M01,1984 Jan,102.3
CUUR0000SA0L1E,1984,M02,1984 Feb,102.6
CUUR0000SA0L1E,1984,M03,1984 Mar,103.0
CUUR0000SA0L1E,1984,M04,1984 Apr,103.5
CUUR0000SA0L1E,1984,M05,1984 May,103.9
CUUR0000SA0L1E,1984,M06,1984 Jun,104.2
CUUR0000SA0L1E,1984,M07,1984 Jul,104.6
CUUR0000SA0L1E,1984,M08,1984 Aug,105.1
CUUR0000SA0L1E,1984,M09,1984 Sep,105.8
CUUR0000SA0L1E,1984,M10,1984 Oct,106.3
CUUR0000SA0L1E,1984,M11,1984 Nov,106.5
CUUR0000SA0L1E,1984,M12,1984 Dec,106.7
CUUR0000SA0L1E,1985,M01,1985 Jan,106.9
CUUR0000SA0L1E,1985,M02,1985 Feb,107.4
CUUR0000SA0L1E,1985,M03,1985 Mar,107.9
CUUR0000SA0L1E,1985,M04,1985 Apr,108.2
CUUR0000SA0L1E,1985,M05,1985 May,108.6
CUUR0000SA0L1E,1985,M06,1985 Jun,108.8
CUUR0000SA0L1E,1985,M07,1985 Jul,109.0
CUUR0000SA0L1E,1985,M08,1985 Aug,109.4
CUUR0000SA0L1E,1985,M09,1985 Sep,110.0
CUUR0000SA0L1E,1985,M10,1985 Oct,110.7
CUUR0000SA0L1E,1985,M11,1985 Nov,111.2
CUUR0000SA0L1E,1985,M12,1985 Dec,111.3
CUUR0000SA0L1E,1986,M01,1986 Jan,111.6
CUUR0000SA0L1E,1986,M02,1986 Feb,111.9
CUUR0000SA0L1E,1986,M03,1986 Mar,112.3
CUUR0000SA0L1E,1986,M04,1986 Apr,112.7
CUUR0000SA0L1E,1986,M05,1986 May,112.9
CUUR0000SA0L1E,1986,M06,1986 Jun,113.1
CUUR0000SA0L1E,1986,M07,1986 Jul,113.5
CUUR0000SA0L1E,1986,M08,1986 Aug,113.8
CUUR0000SA0L1E,1986,M09,1986 Sep,114.5
