"Time","Year","Month","CPI_adjusted_Price","CPI_adjusted_Return"
Aug 1912,1912,8,259.174910227897,0.012909641567756
Sep 1912,1912,9,257.966274489796,-0.00466339792319407
Oct 1912,1912,10,257.443016326531,-0.00202839756592277
Nov 1912,1912,11,254.565096428571,-0.0111788617886177
Dec 1912,1912,12,247.814542093544,-0.0265179886391897
Jan 1913,1913,1,243.315045918367,-0.0181567075812628
Feb 1913,1913,2,234.68128622449,-0.0354838709677418
Mar 1913,1913,3,230.233591836735,-0.0189520624303234
Apr 1913,1913,4,229.971962755102,-0.0011363636363638
May 1913,1913,5,225.998976804124,-0.0172759579184401
Jun 1913,1913,6,212.442814285714,-0.0599832915622394
Jul 1913,1913,7,213.145777272727,0.00330895158481396
Aug 1913,1913,8,218.843477272727,0.0267314702308626
Sep 1913,1913,9,218.7062145,-0.000627218934911224
Oct 1913,1913,10,211.783509,-0.0316529894490034
Nov 1913,1913,11,204.355626237624,-0.0350729988253063
Dec 1913,1913,12,206.142786,0.00874534161490668
Jan 1914,1914,1,214.6038705,0.0410447761194031
Feb 1914,1914,2,219.620436363636,0.023375933770199
Mar 1914,1914,3,215.476654545455,-0.018867924528302
Apr 1914,1914,4,212.442814285714,-0.0140796703296705
May 1914,1914,5,211.591859090909,-0.00400557297109015
Jun 1914,1914,6,210.555913636364,-0.00489596083231315
Jul 1914,1914,7,196.912512,-0.0647970479704798
Aug 1914,1914,8,193.051482352941,-0.0196078431372549
Sep 1914,1914,9,193.051482352941,0
Oct 1914,1914,10,194.962883168317,0.00990099009900991
Nov 1914,1914,11,193.051482352941,-0.00980392156862746
Dec 1914,1914,12,186.585571782178,-0.0334931930693069
Jan 1915,1915,1,189.885724752475,0.0176870748299322
Feb 1915,1915,2,189.220617,-0.00350267379679161
Mar 1915,1915,3,196.052677272727,0.0361063206591661
Apr 1915,1915,4,208.706751,0.0645442536327611
May 1915,1915,5,201.817047029703,-0.0330114092490332
Jun 1915,1915,6,204.101768316832,0.0113207547169812
Jul 1915,1915,7,203.340194554455,-0.00373134328358205
Aug 1915,1915,8,211.971363861386,0.0424469413233457
Sep 1915,1915,9,219.840959405941,0.0371257485029941
Oct 1915,1915,10,229.751373529412,0.0450799257347283
Nov 1915,1915,11,235.486494174757,0.0249622910072018
Dec 1915,1915,12,235.984351456311,0.00211416490486244
Jan 1916,1916,1,230.017244711538,-0.0252860272638753
Feb 1916,1916,2,226.812288461538,-0.0139335476956056
Mar 1916,1916,3,223.91961,-0.0127536231884058
Apr 1916,1916,4,219.388325943396,-0.0202362091314993
May 1916,1916,5,222.130425700935,0.0124988407917648
Jun 1916,1916,6,222.2103,0.000359582883854805
Jul 1916,1916,7,219.124045833333,-0.0138888888888889
Aug 1916,1916,8,218.760316513761,-0.00165992425974333
Sep 1916,1916,9,223.596227027027,0.0221059769446866
Oct 1916,1916,10,226.44575840708,0.0127440942002486
Nov 1916,1916,11,227.635501304348,0.00525398623333628
Dec 1916,1916,12,216.610836206897,-0.0484312202370901
Jan 1917,1917,1,209.719188461538,-0.0318158032443746
Feb 1917,1917,2,192.93836625,-0.0800156739811914
Mar 1917,1917,3,198.92095125,0.0310077519379848
Apr 1917,1917,4,186.599675,-0.0619405656999642
May 1917,1917,5,177.47445234375,-0.0489026717557254
Jun 1917,1917,6,178.294181538462,0.00461885744052781
Jul 1917,1917,7,176.072283984375,-0.012461974557522
Aug 1917,1917,8,168.235549615385,-0.0445086199352411
Sep 1917,1917,9,156.536810526316,-0.0695378540136978
Oct 1917,1917,10,145.86112,-0.068199233716475
Nov 1917,1917,11,133.706026666667,-0.0833333333333333
Dec 1917,1917,12,127.262496350365,-0.0481917717319177
Jan 1918,1918,1,132.0441975,0.0375735294117646
Feb 1918,1918,2,135.108226595745,0.0232045720581147
Mar 1918,1918,3,133.32618,-0.0131897711978465
Apr 1918,1918,4,130.184420070423,-0.0235644637053087
May 1918,1918,5,131.557928275862,0.0105504806542638
Jun 1918,1918,6,129.942443877551,-0.0122796430400117
Jul 1918,1918,7,127.51905397351,-0.0186497177652341
Aug 1918,1918,8,126.200355194805,-0.0103411901015096
Sep 1918,1918,9,123.135643949045,-0.0242844898576542
Oct 1918,1918,10,125.954780625,0.0228945623342176
Nov 1918,1918,11,126.782563803681,0.00657206637630939
Dec 1918,1918,12,122.759536363636,-0.0317317091510641
Jan 1919,1919,1,121.982577272727,-0.00632911392405072
Feb 1919,1919,2,124.716322222222,0.0224109459778251
Mar 1919,1919,3,126.947535365854,0.0178903058066112
Apr 1919,1919,4,128.812373353293,0.0146898321583435
May 1919,1919,5,136.087373076923,0.056477491519208
Jun 1919,1919,6,139.728506804734,0.0267558528428094
Jul 1919,1919,7,140.133949137931,0.0029016436407201
Aug 1919,1919,8,128.487963559322,-0.0831060970610776
Sep 1919,1919,9,129.782722752809,0.0100768909212976
Oct 1919,1919,10,134.147782044199,0.0336335931224361
Nov 1919,1919,11,127.366693783784,-0.0505493878249951
Dec 1919,1919,12,121.008295238095,-0.0499219878980487
Jan 1920,1920,1,117.304719948187,-0.0306059620344339
Feb 1920,1920,2,106.503161538462,-0.0920811917414409
Mar 1920,1920,3,112.840490101523,0.059503666102651
Apr 1920,1920,4,108.621177339901,-0.037391833000949
May 1920,1920,5,100.31824223301,-0.0764393768344999
